Timestamp | Level | Message
2026-03-02T20:10:34.278Z | INFO | [RepairService] | User 6103 | Robot 50264 (User1Robot0) | Cost: ₡19,320 | Discount: 0%
2026-03-02T20:10:34.289Z | INFO | [RepairService] | User 6096 | Robot 50243 (User1Robot3) | Cost: ₡17,480 | Discount: 0%
2026-03-02T20:10:34.293Z | INFO | [RepairService] | User 6096 | Robot 50240 (User1Robot0) | Cost: ₡20,010 | Discount: 0%
2026-03-02T20:10:34.302Z | INFO | [RepairService] | User 6096 | Robot 50241 (User1Robot1) | Cost: ₡9,890 | Discount: 0%
2026-03-02T20:10:34.307Z | INFO | [RepairService] | User 6096 | Robot 50242 (User1Robot2) | Cost: ₡17,480 | Discount: 0%
2026-03-02T20:10:34.339Z | INFO | [RepairService] | User 6104 | Robot 50268 (User2Robot0) | Cost: ₡15,410 | Discount: 0%
2026-03-02T20:10:34.344Z | INFO | [RepairService] | User 6104 | Robot 50269 (User2Robot1) | Cost: ₡31,395 | Discount: 0%
2026-03-02T20:10:34.350Z | INFO | [RepairService] | User 6104 | Robot 50270 (User2Robot2) | Cost: ₡33,465 | Discount: 0%
2026-03-02T20:10:34.357Z | INFO | [RepairService] | User 6104 | Robot 50271 (User2Robot3) | Cost: ₡6,900 | Discount: 0%
2026-03-02T20:10:34.365Z | INFO | [RepairService] | User 6098 | Robot 50251 (User1Robot3) | Cost: ₡13,800 | Discount: 0%
2026-03-02T20:10:34.369Z | INFO | [RepairService] | User 6098 | Robot 50250 (User1Robot2) | Cost: ₡31,395 | Discount: 0%
2026-03-02T20:10:34.374Z | INFO | [RepairService] | User 6098 | Robot 50249 (User1Robot1) | Cost: ₡32,775 | Discount: 0%
2026-03-02T20:10:34.378Z | INFO | [RepairService] | User 6098 | Robot 50248 (User1Robot0) | Cost: ₡15,870 | Discount: 0%
2026-03-02T20:10:34.407Z | INFO | [RepairService] | User 6099 | Robot 50253 (User2Robot1) | Cost: ₡31,395 | Discount: 0%
2026-03-02T20:10:34.417Z | INFO | [RepairService] | User 6099 | Robot 50254 (User2Robot2) | Cost: ₡31,395 | Discount: 0%
2026-03-02T20:10:34.423Z | INFO | [RepairService] | User 6099 | Robot 50252 (User2Robot0) | Cost: ₡12,880 | Discount: 0%
2026-03-02T20:10:34.428Z | INFO | [RepairService] | User 6099 | Robot 50255 (User2Robot3) | Cost: ₡14,950 | Discount: 0%
